Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,8,0.0019025801906668734
Accuracy and Completeness of Citations,1,9,9.703874927454315
Accuracy and Completeness of Citations,1,1,8.079459213750665
Accuracy and Completeness of Citations,1,7,8.10021509056862
Accuracy and Completeness of Citations,1,5,6.965652827026791
Accuracy and Completeness of Citations,1,6,9.881041867099626
Accuracy and Completeness of Citations,1,10,0.07274230280207368
Accuracy and Completeness of Citations,1,4,9.798005849748298
Accuracy and Completeness of Citations,1,0,10.0
Accuracy and Completeness of Citations,1,3,1.5146408585288662
Accuracy and Completeness of Citations,1,2,0.0
Accuracy of Information,1,8,0.12039765708078519
Accuracy of Information,1,9,5.069567877260066
Accuracy of Information,1,1,4.948393254962649
Accuracy of Information,1,7,8.976748860256645
Accuracy of Information,1,5,9.547471007987106
Accuracy of Information,1,6,9.92364407808451
Accuracy of Information,1,10,0.0
Accuracy of Information,1,4,10.0
Accuracy of Information,1,0,7.6058192183449425
Accuracy of Information,1,3,1.489950981979487
Accuracy of Information,1,2,2.8977915045935356
Appropriateness of Professional Terminology Use,1,8,0.0
Appropriateness of Professional Terminology Use,1,9,0.005682437188169325
Appropriateness of Professional Terminology Use,1,1,0.06937002913330813
Appropriateness of Professional Terminology Use,1,7,6.001637484499507
Appropriateness of Professional Terminology Use,1,5,1.9727673669129975
Appropriateness of Professional Terminology Use,1,6,10.0
Appropriateness of Professional Terminology Use,1,10,0.2420077488687128
Appropriateness of Professional Terminology Use,1,4,2.9506378167603198
Appropriateness of Professional Terminology Use,1,0,7.922094042647756
Appropriateness of Professional Terminology Use,1,3,0.5328947987403141
Appropriateness of Professional Terminology Use,1,2,0.2419676343916556
Avoidance of Plagiarism and Appropriate Citation,1,8,0.0
Avoidance of Plagiarism and Appropriate Citation,1,9,9.260466880229332
Avoidance of Plagiarism and Appropriate Citation,1,1,0.052441111900011605
Avoidance of Plagiarism and Appropriate Citation,1,7,8.46475675991881
Avoidance of Plagiarism and Appropriate Citation,1,5,5.354516760901572
Avoidance of Plagiarism and Appropriate Citation,1,6,10.0
Avoidance of Plagiarism and Appropriate Citation,1,10,0.374135951726526
Avoidance of Plagiarism and Appropriate Citation,1,4,7.503440389061007
Avoidance of Plagiarism and Appropriate Citation,1,0,9.445626416296644
Avoidance of Plagiarism and Appropriate Citation,1,3,3.4601378876563547
Avoidance of Plagiarism and Appropriate Citation,1,2,2.1907842526628487
Clarity of Logical Structure,1,8,0.0
Clarity of Logical Structure,1,9,1.4509945848718933
Clarity of Logical Structure,1,1,1.7460383258746135
Clarity of Logical Structure,1,7,9.722307784955351
Clarity of Logical Structure,1,5,0.7867875580479701
Clarity of Logical Structure,1,6,10.0
Clarity of Logical Structure,1,10,0.24367956500725352
Clarity of Logical Structure,1,4,8.705552076248473
Clarity of Logical Structure,1,0,9.656128623752828
Clarity of Logical Structure,1,3,1.1839267452999325
Clarity of Logical Structure,1,2,0.005046773053155884
Clarity of Research Method Description,1,8,0.0
Clarity of Research Method Description,1,9,6.259589444275301
Clarity of Research Method Description,1,1,0.24309964569507483
Clarity of Research Method Description,1,7,9.775846420473188
Clarity of Research Method Description,1,5,1.9517088160876344
Clarity of Research Method Description,1,6,10.0
Clarity of Research Method Description,1,10,0.9635534077280067
Clarity of Research Method Description,1,4,5.379522034441023
Clarity of Research Method Description,1,0,9.717934004195671
Clarity of Research Method Description,1,3,1.0590632054836435
Clarity of Research Method Description,1,2,1.2136889184635276
Comprehensiveness of Information,1,8,0.05770652528575214
Comprehensiveness of Information,1,9,0.10512594168573014
Comprehensiveness of Information,1,1,1.913607074591123
Comprehensiveness of Information,1,7,8.989610504306262
Comprehensiveness of Information,1,5,1.1173407855571833
Comprehensiveness of Information,1,6,10.0
Comprehensiveness of Information,1,10,0.08497655896157935
Comprehensiveness of Information,1,4,9.01365355743599
Comprehensiveness of Information,1,0,9.232585415698386
Comprehensiveness of Information,1,3,0.8273882554089217
Comprehensiveness of Information,1,2,0.0
Conciseness of Expression,1,8,0.08921612264670592
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,1,0.499813219587851
Conciseness of Expression,1,7,5.684435991934519
Conciseness of Expression,1,5,1.9639314379731556
Conciseness of Expression,1,6,10.0
Conciseness of Expression,1,10,1.6849215282611087
Conciseness of Expression,1,4,7.044096984921338
Conciseness of Expression,1,0,9.562860271097344
Conciseness of Expression,1,3,0.438823537632283
Conciseness of Expression,1,2,0.1471462071080662
Critical Analysis of Existing Research,1,8,0.2728099988818273
Critical Analysis of Existing Research,1,9,0.0
Critical Analysis of Existing Research,1,1,4.362319377896384
Critical Analysis of Existing Research,1,7,9.97043875772919
Critical Analysis of Existing Research,1,5,7.466330882777535
Critical Analysis of Existing Research,1,6,10.0
