<quotes>

[1] "The main forms of deactivation are shown in Fig. 12a."
[2] "A first-order deactivation model is usually used to evaluate the catalyst stability:73 kd = (ln[(1  Xfinal)/Xfinal]  ln[(1  Xinitial)/Xinitial])/t (6) where Xinitial represents the conversion measured in the initial period, Xfinal represents the conversion measured in the final period of an experiment, and t is the reaction time (h). kd represents the deactivation rate constant (h1); the higher the kd value is, the faster deactivation and lower stability are realized."
[3] "The aforementioned deactivation phenomena have a crucial influence on the cata- lytic performance. Therefore, for the design of catalytic systems with promoted performance, inhibition of deactivation can serve as an important requirement."
[4] "A number of synthetic strategies for inhibiting the deactivation have been shown, which can be classified in accordance with the modification of supports,metals and treatments (Fig. 12b)."
[5] "In the following sections, we Fig. 12 The deactivation and inhibition strategies over Pt-based and metal oxide-based catalysts. (a) The main deactivation phenomena are shown. (b) The approaches for inhibiting deactivation are shown and divided after the different modification stages of supports, metal particles and treatment."
[6] "3.1.3.1 Coke formation"
[7] "3.1.3.1.1 Coking mechanism. In PDH reactions, coking behavior over Pt-based catalysts leads to decreased catalytic activity follows via two mechanisms: poisoning the active sites or limiting access of the reactants to the active sites due to the partial or complete blockage of pores by coke.133,134 Both deactivation modes can occur simultaneously."
[8] "As shown above,the coordination saturated Pt atoms are more selective for propane dehydrogenation, while the coordinatively unsatu- rated Pt atoms will catalyze the side reactions, such as CC breaking and deep dehydrogenation, resulting in the formation of carbon deposits."
[9] "It has been reported that compared to flat surfaces (6372 kJ mol1), the energy barrier to form propylene is much lower on step sites (2434 kJ mol1) by DFT calculations.134 Nevertheless, propylidyne intermediates, as precursors for coke formation and hydrogenolysis, can be easily generated, causing propane to adsorb strongly on the former."
[10] "The dehydrogenation product of propylene, C3H5*, can be taken as a model precursor for coke deposition."
[11] "In addition to the coke formation on Pt NPs, the coke types and positions on Pt-supported catalysts have been studied, which are classi- fied into three locations: on Pt metal, on the Ptsupport boundary, and on supports."
[12] "For Pt/Al2O3 and PtSn/Al2O3 catalysts, coked during propane dehydrogenation, have been studied using temperature-programmed oxidation (TPO)."
[13] "TPO profiles on the PtSn catalyst imply that different peaks are consistent with coke on and near the metal, graphitic and disordered coke on the support, respectively."
[14] "The amount of coke that can be attributed to the third peak increases with temperature and propane partial pressure.133 Both facilitating the propylene desorption and increasing the dehydrogenation barrier of propylene result in less coke."
[15] "As the adsorption configuration and strength of propylene can be both greatly perturbed by surface structures, coke formation is inherently governed by the surface geometric and electronic structures, and thus the construction of specific reaction ensembles is important."
[16] "Additionally, tuning the supports acidity and coke mobility can also inhibit the coke formation."
[17] "Understanding the process of coke deposition on the catalysts is important in improving catalyst performance and optimizing catalyst regeneration."
[18] "The effective strategies for inhibiting coke are summarized as follows."
[19] "3.1.3.1.2 Geometric separation. Previous research studies have shown that separating the active metal components could inhibit the structure-sensitive side reactions with improved propylene selectivity."
[20] "For example, Gong and coworkers described an investigation of the promotional effect of Cu on the catalytic performance of Pt/Al2O3 catalysts for PDH.44 The interaction between Pt and Cu elevates the energy barrier for CC bond breaking, and facilitates C3H6 desorption as well."
[21] "The optimized loading content of Cu is 0.5 wt%, which increases the C3H6 yield to 36.5% with a C3H6 selectivity of 90.8% and less coke (Fig. 13a and b)."
[22] "Specifically, owing to the site-isolated Pt, C3H5 as a model precursor of coke formation can only contact with its surface through a single bond instead of more stable three PtC inter- actions on a 3-fold hollow site over Pt(111), which can significantly inhibit the structure-sensitive deep dehydrogenation side reactions."
[23] "For example, Pt/Cu single-atom alloys (SAAs) break the scaling relationship of Pt3M (M = 3d and 4d transition metals) alloys and eliminate the structure-sensitive deep dehydrogenation to improve the propylene selectivity up to 90%.45,135 In regard to the significance of isolated active sites (i.e., geometric effects), a similar inference has been implied for PdIn/SiO2 intermetallic alloys in ethane dehydrogenation (EDH).136"
[24] "3.1.3.1.3 Electron richness. As mentioned above, the empty d orbital of Pt can be occupied by electrons transferred from electron-rich C3H6 which acts as an electron-donor."
[25] "A high electron density of Pt particles is beneficial to weaken Pt(CC) bonds, inhibit coke precursors, and suppress deep dehydrogena- tion and CC cleavage as well, thus promoting desorption of C3H6, leading to a favorable C3H6 selectivity."
[26] "Since the reactivity of metal nanoparticle surfaces is determined by the electronic states through the valence d-bands, which is a region in the partial density of states (DOS) (Fig. 13c),42 alloying with diverse promoters have a great impact on the energies and availability of the valence electrons to form chemical bonds with adsorbates,which is a feasible way to modulate the surface electronic structure and hence the reactivity."
[27] "Jeffrey Greeley and coworkers applied an integrated approach using DFT calculations, kinetics,and in situ X-ray spectroscopies."
[28] "The modified energy of the Pt 5d electrons by the amalgamation of Zn into the catalyst surface is directly related to transformation of rate promotion, while the ensemble effects of PtZn ensembles contribute to enhanced C3H6 selectivity (Fig. 13d).42 In addition to the alloys, the addition of an appropriate amount of reducible metal oxides such as TiO2 improves catalytic stability and C3H6 selectivity,which is attributed to the electron transfer from partially reduced TiOx (x o 2) to Pt atoms.72"
[29] "3.1.3.1.4 Poisoning acid sites. In addition to the coke on metal particles, the coke on acidic supports can also suppress the diffusion of reactive molecules."
[30] "Another approach has been the use of non-acidic supports that lead to fewer cracking and polymerization reactions compared with acidic supports."
[31] "Alumina is a conventional support applied to platinum-based catalysts for dehydrogenation due to its high surface area,outstanding mechanical strength and thermal stability, which is beneficial to disperse platinum clusters on surfaces and thus enhance the stability of the catalyst."
[32] "However, most alumina supports are acidic, which tends to accelerate coke formation;therefore alkaline promoters are used to poison acid sites and curb support acidity, such as Li, Na, and K."
