Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,1,10.0
Accuracy and Completeness of Citations,1,3,9.543598756302677
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,2,9.985449679127289
Accuracy and Completeness of Citations,1,5,5.734471680993419
Accuracy and Completeness of Citations,1,0,9.92484314002058
Accuracy and Completeness of Citations,1,7,6.258610228440388
Accuracy and Completeness of Citations,1,4,9.315160876901032
Accuracy and Completeness of Citations,1,8,2.6103184307624185
Accuracy and Completeness of Citations,1,9,8.972195904465249
Accuracy and Completeness of Citations,1,6,9.877742348274902
Accuracy of Information,1,1,9.959607669405441
Accuracy of Information,1,3,9.677070271180895
Accuracy of Information,1,10,0.0
Accuracy of Information,1,2,10.0
Accuracy of Information,1,5,7.157047407995287
Accuracy of Information,1,0,9.990542565505839
Accuracy of Information,1,7,2.6442156015874545
Accuracy of Information,1,4,9.538941390263718
Accuracy of Information,1,8,6.98671678656413
Accuracy of Information,1,9,2.878832715941563
Accuracy of Information,1,6,9.912243886307166
Appropriateness of Professional Terminology Use,1,1,9.48361011352033
Appropriateness of Professional Terminology Use,1,3,7.971820852108054
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,2,10.0
Appropriateness of Professional Terminology Use,1,5,1.8158426257752667
Appropriateness of Professional Terminology Use,1,0,9.592472162374312
Appropriateness of Professional Terminology Use,1,7,0.13781519309360965
Appropriateness of Professional Terminology Use,1,4,6.575029072909157
Appropriateness of Professional Terminology Use,1,8,2.212872636257399
Appropriateness of Professional Terminology Use,1,9,1.8138553349995616
Appropriateness of Professional Terminology Use,1,6,9.617046606951028
Avoidance of Plagiarism and Appropriate Citation,1,1,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,8.881462089559113
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,2,9.991884714805618
Avoidance of Plagiarism and Appropriate Citation,1,5,0.6150701912487181
Avoidance of Plagiarism and Appropriate Citation,1,0,9.77986113563306
Avoidance of Plagiarism and Appropriate Citation,1,7,0.5979258042763409
Avoidance of Plagiarism and Appropriate Citation,1,4,9.700235865318868
Avoidance of Plagiarism and Appropriate Citation,1,8,1.338262759942405
Avoidance of Plagiarism and Appropriate Citation,1,9,0.43041994079480056
Avoidance of Plagiarism and Appropriate Citation,1,6,8.883139528357525
Clarity of Logical Structure,1,1,10.0
Clarity of Logical Structure,1,3,9.348884453555941
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,2,9.950756533979808
Clarity of Logical Structure,1,5,7.323442878178427
Clarity of Logical Structure,1,0,9.996083095016623
Clarity of Logical Structure,1,7,7.8976290676597865
Clarity of Logical Structure,1,4,9.294058937355443
Clarity of Logical Structure,1,8,6.384994233570399
Clarity of Logical Structure,1,9,9.941470492035464
Clarity of Logical Structure,1,6,9.97362140067023
Clarity of Research Method Description,1,1,7.189719485722067
Clarity of Research Method Description,1,3,5.519761793720452
Clarity of Research Method Description,1,10,0.02498152763691856
Clarity of Research Method Description,1,2,10.0
Clarity of Research Method Description,1,5,0.4309710805419822
Clarity of Research Method Description,1,0,9.39832473460726
Clarity of Research Method Description,1,7,0.026796782238105252
Clarity of Research Method Description,1,4,3.526185503898337
Clarity of Research Method Description,1,8,0.0
Clarity of Research Method Description,1,9,2.6526922232724663
Clarity of Research Method Description,1,6,7.777049832582796
Comprehensiveness of Information,1,1,9.772239874819377
Comprehensiveness of Information,1,3,8.339960278081389
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,2,9.831595052269106
Comprehensiveness of Information,1,5,4.927344678163084
Comprehensiveness of Information,1,0,10.0
Comprehensiveness of Information,1,7,0.9210924395796392
Comprehensiveness of Information,1,4,9.286639101683976
Comprehensiveness of Information,1,8,5.296434641820099
Comprehensiveness of Information,1,9,6.021087754289174
Comprehensiveness of Information,1,6,9.813298903060304
Conciseness of Expression,1,1,9.50516547377216
Conciseness of Expression,1,3,6.493062967670521
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,2,10.0
Conciseness of Expression,1,5,3.027935146720471
Conciseness of Expression,1,0,9.581475613698391
Conciseness of Expression,1,7,0.09824930650947208
Conciseness of Expression,1,4,6.730401342837138
Conciseness of Expression,1,8,1.6305295268436422
Conciseness of Expression,1,9,3.465543451681132
Conciseness of Expression,1,6,8.176476722515302
Critical Analysis of Existing Research,1,1,9.943165070244213
Critical Analysis of Existing Research,1,3,7.350664281251449
Critical Analysis of Existing Research,1,10,0.018338043709081056
Critical Analysis of Existing Research,1,2,10.0
Critical Analysis of Existing Research,1,5,0.5712870368958763
Critical Analysis of Existing Research,1,0,9.931082079486146
Critical Analysis of Existing Research,1,7,1.1280954909227343
Critical Analysis of Existing Research,1,4,9.358074785368283
Critical Analysis of Existing Research,1,8,1.861714728932607
Critical Analysis of Existing Research,1,9,0.0
Critical Analysis of Existing Research,1,6,9.882401748348316
Feasibility of Proposed Suggestions,1,1,9.29108036225131
Feasibility of Proposed Suggestions,1,3,6.122994462880653
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,2,10.0
Feasibility of Proposed Suggestions,1,5,0.7488563382351859
Feasibility of Proposed Suggestions,1,0,9.694858281525875
Feasibility of Proposed Suggestions,1,7,0.45903768889672286
Feasibility of Proposed Suggestions,1,4,8.56996485089211
Feasibility of Proposed Suggestions,1,8,0.30544392896521777
Feasibility of Proposed Suggestions,1,9,0.855538456915766
Feasibility of Proposed Suggestions,1,6,9.22101844840208
Fluency of Language Expression,1,1,9.578072792590241
Fluency of Language Expression,1,3,5.139560997775429
Fluency of Language Expression,1,10,0.0
Fluency of Language Expression,1,2,10.0
Fluency of Language Expression,1,5,0.6151434042514987
Fluency of Language Expression,1,0,9.281027702605634
Fluency of Language Expression,1,7,0.01978810869061536
Fluency of Language Expression,1,4,4.705661003541285
Fluency of Language Expression,1,8,1.127106723165869
Fluency of Language Expression,1,9,1.6051181588403405
Fluency of Language Expression,1,6,6.685971942486154
Identification and Discussion of Research Limitations,1,1,9.374010996742033
Identification and Discussion of Research Limitations,1,3,5.15646482239624
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,2,10.0
Identification and Discussion of Research Limitations,1,5,0.7105710940754584
Identification and Discussion of Research Limitations,1,0,9.476323458096033
Identification and Discussion of Research Limitations,1,7,0.3258686035450157
Identification and Discussion of Research Limitations,1,4,8.177095575025444
Identification and Discussion of Research Limitations,1,8,0.771082537564085
Identification and Discussion of Research Limitations,1,9,1.57484964160986
Identification and Discussion of Research Limitations,1,6,7.407298572690119
Inclusion of Latest Research Results,1,1,9.934273090098408
Inclusion of Latest Research Results,1,3,7.667556449235039
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,2,10.0
Inclusion of Latest Research Results,1,5,0.7193427247990511
Inclusion of Latest Research Results,1,0,9.90532172028399
Inclusion of Latest Research Results,1,7,1.4054109880511891
Inclusion of Latest Research Results,1,4,9.15081499271861
Inclusion of Latest Research Results,1,8,0.8589706486638767
Inclusion of Latest Research Results,1,9,1.335494838112609
Inclusion of Latest Research Results,1,6,9.449657536160867
Innovativeness of Viewpoints,1,1,9.550761265188418
Innovativeness of Viewpoints,1,3,7.52839942364757
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,2,9.44618950430896
Innovativeness of Viewpoints,1,5,1.2124559213316817
Innovativeness of Viewpoints,1,0,9.391360799333894
Innovativeness of Viewpoints,1,7,2.662026372374512
Innovativeness of Viewpoints,1,4,5.897508021901629
Innovativeness of Viewpoints,1,8,3.95504205367236
Innovativeness of Viewpoints,1,9,0.02934865123265802
Innovativeness of Viewpoints,1,6,10.0
Integration of Interdisciplinary Perspectives,1,1,9.6648706672546
Integration of Interdisciplinary Perspectives,1,3,9.6063781747762
Integration of Interdisciplinary Perspectives,1,10,0.0
Integration of Interdisciplinary Perspectives,1,2,10.0
Integration of Interdisciplinary Perspectives,1,5,3.018221250917048
Integration of Interdisciplinary Perspectives,1,0,9.985151377933327
Integration of Interdisciplinary Perspectives,1,7,3.6259113978621142
Integration of Interdisciplinary Perspectives,1,4,9.952213539041061
Integration of Interdisciplinary Perspectives,1,8,5.406383331839395
Integration of Interdisciplinary Perspectives,1,9,0.6030276501124842
Integration of Interdisciplinary Perspectives,1,6,9.976244277753892
Logic of Argumentation,1,1,9.464778660850683
Logic of Argumentation,1,3,5.564903204861667
Logic of Argumentation,1,10,0.0
Logic of Argumentation,1,2,10.0
Logic of Argumentation,1,5,0.6337227689637218
Logic of Argumentation,1,0,9.348943301466615
Logic of Argumentation,1,7,0.3217857782659451
Logic of Argumentation,1,4,6.209216933594461
Logic of Argumentation,1,8,0.3996713042052962
Logic of Argumentation,1,9,1.3475994765012027
Logic of Argumentation,1,6,6.783718941134267
Multi-angle Analysis of Problems,1,1,9.645813202684472
Multi-angle Analysis of Problems,1,3,6.621020610088559
Multi-angle Analysis of Problems,1,10,0.0
Multi-angle Analysis of Problems,1,2,10.0
Multi-angle Analysis of Problems,1,5,0.5562740064869516
Multi-angle Analysis of Problems,1,0,9.42403989876392
Multi-angle Analysis of Problems,1,7,0.7246307198845634
Multi-angle Analysis of Problems,1,4,7.463375671453189
Multi-angle Analysis of Problems,1,8,1.2521924108574383
Multi-angle Analysis of Problems,1,9,3.2084574227925384
Multi-angle Analysis of Problems,1,6,9.513723575143443
Potential Contribution to the Field,1,1,9.872633385581628
Potential Contribution to the Field,1,3,7.1168113244941225
Potential Contribution to the Field,1,10,0.0
Potential Contribution to the Field,1,2,9.983445315025465
Potential Contribution to the Field,1,5,0.14323023128216775
Potential Contribution to the Field,1,0,9.834559636977325
Potential Contribution to the Field,1,7,0.9776403374235498
Potential Contribution to the Field,1,4,9.3751395589528
Potential Contribution to the Field,1,8,1.124554567828071
Potential Contribution to the Field,1,9,0.005242719464050051
Potential Contribution to the Field,1,6,10.0
Practical Application Potential of Research Results,1,1,9.773541555472107
Practical Application Potential of Research Results,1,3,6.663640291950351
Practical Application Potential of Research Results,1,10,0.0
Practical Application Potential of Research Results,1,2,10.0
Practical Application Potential of Research Results,1,5,1.0693873250976094
Practical Application Potential of Research Results,1,0,9.734679665454294
Practical Application Potential of Research Results,1,7,0.8134793262524517
Practical Application Potential of Research Results,1,4,8.723542416741699
Practical Application Potential of Research Results,1,8,0.8984137996180501
Practical Application Potential of Research Results,1,9,1.8523449411911292
Practical Application Potential of Research Results,1,6,9.803409140308384
Proposal of New Research Directions or Questions,1,1,9.482501814395572
Proposal of New Research Directions or Questions,1,3,7.3219732076255095
Proposal of New Research Directions or Questions,1,10,0.1896675017378016
Proposal of New Research Directions or Questions,1,2,9.439655316911715
Proposal of New Research Directions or Questions,1,5,1.2528577031146015
Proposal of New Research Directions or Questions,1,0,9.567063040902639
Proposal of New Research Directions or Questions,1,7,2.556161272494466
Proposal of New Research Directions or Questions,1,4,8.393880469573219
Proposal of New Research Directions or Questions,1,8,2.4494544900187925
Proposal of New Research Directions or Questions,1,9,0.0
Proposal of New Research Directions or Questions,1,6,10.0
Quality of Introduction and Conclusion,1,1,9.898233124475887
Quality of Introduction and Conclusion,1,3,8.990593421925398
Quality of Introduction and Conclusion,1,10,0.0
Quality of Introduction and Conclusion,1,2,9.889746261413771
Quality of Introduction and Conclusion,1,5,6.381902847737129
Quality of Introduction and Conclusion,1,0,10.0
Quality of Introduction and Conclusion,1,7,4.206284258038068
Quality of Introduction and Conclusion,1,4,8.76257904225152
Quality of Introduction and Conclusion,1,8,5.372753708517663
Quality of Introduction and Conclusion,1,9,9.508492657526542
Quality of Introduction and Conclusion,1,6,9.622038385671294
Rationality of Method Selection,1,1,9.807321327266102
Rationality of Method Selection,1,3,8.701857178777495
Rationality of Method Selection,1,10,0.0
Rationality of Method Selection,1,2,10.0
Rationality of Method Selection,1,5,0.9612856274937017
Rationality of Method Selection,1,0,9.922311080777376
Rationality of Method Selection,1,7,0.4258887464260172
Rationality of Method Selection,1,4,7.278963964995878
Rationality of Method Selection,1,8,0.05928765381567078
Rationality of Method Selection,1,9,5.314471067563246
Rationality of Method Selection,1,6,9.831949673635576
Reasonableness of Chapter Arrangement,1,1,9.890181320817968
Reasonableness of Chapter Arrangement,1,3,8.442968700516257
Reasonableness of Chapter Arrangement,1,10,0.0
Reasonableness of Chapter Arrangement,1,2,9.848417522577979
Reasonableness of Chapter Arrangement,1,5,6.266803121548912
Reasonableness of Chapter Arrangement,1,0,10.0
Reasonableness of Chapter Arrangement,1,7,6.246632756379507
Reasonableness of Chapter Arrangement,1,4,9.069873754090754
Reasonableness of Chapter Arrangement,1,8,3.537492564723653
Reasonableness of Chapter Arrangement,1,9,9.88643338423709
Reasonableness of Chapter Arrangement,1,6,9.831847057593874
Reflection of Current Research Hotspots,1,1,9.77681323832024
Reflection of Current Research Hotspots,1,3,7.240376109645285
Reflection of Current Research Hotspots,1,10,0.0
Reflection of Current Research Hotspots,1,2,10.0
Reflection of Current Research Hotspots,1,5,0.6041062369333215
Reflection of Current Research Hotspots,1,0,9.818373593016108
Reflection of Current Research Hotspots,1,7,0.6839427691417321
Reflection of Current Research Hotspots,1,4,9.056960104337318
Reflection of Current Research Hotspots,1,8,0.5750326684081055
Reflection of Current Research Hotspots,1,9,0.3542962324765085
Reflection of Current Research Hotspots,1,6,8.792698718673236
Rigor of Research Design,1,1,9.183206483509245
Rigor of Research Design,1,3,8.753618479291681
Rigor of Research Design,1,10,0.0
Rigor of Research Design,1,2,10.0
Rigor of Research Design,1,5,1.7853671022301765
Rigor of Research Design,1,0,9.813614131761572
Rigor of Research Design,1,7,0.21478868038472138
Rigor of Research Design,1,4,7.95363156905963
Rigor of Research Design,1,8,0.055006147363296835
Rigor of Research Design,1,9,2.642839575887099
Rigor of Research Design,1,6,9.447436778154945
Timeliness and Relevance of References,1,1,9.923726580432316
Timeliness and Relevance of References,1,3,9.153224061130368
Timeliness and Relevance of References,1,10,0.0
Timeliness and Relevance of References,1,2,9.950290518004346
Timeliness and Relevance of References,1,5,2.971231603983408
Timeliness and Relevance of References,1,0,10.0
Timeliness and Relevance of References,1,7,2.0540606084114947
Timeliness and Relevance of References,1,4,8.847002382088323
Timeliness and Relevance of References,1,8,3.0298912938535825
Timeliness and Relevance of References,1,9,1.277478301990686
Timeliness and Relevance of References,1,6,9.660332496154528
Topic Relevance,1,1,9.803007325104703
Topic Relevance,1,3,9.53654662380025
Topic Relevance,1,10,0.20572233815021138
Topic Relevance,1,2,9.859107921597296
Topic Relevance,1,5,1.588542315733894
Topic Relevance,1,0,10.0
Topic Relevance,1,7,0.9774509274889316
Topic Relevance,1,4,7.657278336968094
Topic Relevance,1,8,4.425610540293267
Topic Relevance,1,9,0.0
Topic Relevance,1,6,9.991631666403478
