Subcategory,Mean Score,Diff Score
Topic Relevance,7.75,-0.5
Topic Relevance,7.0,1.0
Topic Relevance,7.0,1.0
Topic Relevance,7.5,0.0
Topic Relevance,4.5,0.0
Topic Relevance,6.75,1.5
Topic Relevance,6.35,0.10000000000000053
Topic Relevance,7.0,1.0
Topic Relevance,5.5,-2.0
Topic Relevance,7.5,0.0
Comprehensiveness of Information,7.0,-1.0
Comprehensiveness of Information,7.25,0.5
Comprehensiveness of Information,7.5,1.0
Comprehensiveness of Information,7.25,-1.5
Comprehensiveness of Information,6.5,-1.0
Comprehensiveness of Information,7.0,1.0
Comprehensiveness of Information,7.5,-0.5999999999999996
Comprehensiveness of Information,6.75,1.5
Comprehensiveness of Information,5.5,-2.0
Comprehensiveness of Information,7.5,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,7.75,0.5
Accuracy of Information,8.0,0.0
Accuracy of Information,7.75,-1.5
Accuracy of Information,7.75,-0.5
Accuracy of Information,7.5,1.0
Accuracy of Information,7.25,-1.5
Accuracy of Information,7.75,0.5
Accuracy of Information,8.0,-1.0
Accuracy of Information,7.75,0.5
Innovativeness of Viewpoints,6.25,-1.5
Innovativeness of Viewpoints,7.25,-1.5
Innovativeness of Viewpoints,7.25,-0.5
Innovativeness of Viewpoints,7.0,-2.0
Innovativeness of Viewpoints,5.5,-1.0
Innovativeness of Viewpoints,7.0,1.0
Innovativeness of Viewpoints,7.1,-0.7999999999999998
Innovativeness of Viewpoints,7.25,1.5
Innovativeness of Viewpoints,5.5,-2.0
Innovativeness of Viewpoints,7.0,1.0
Integration of Interdisciplinary Perspectives,7.0,-1.0
Integration of Interdisciplinary Perspectives,7.5,1.0
Integration of Interdisciplinary Perspectives,7.25,1.5
Integration of Interdisciplinary Perspectives,7.5,-2.0
Integration of Interdisciplinary Perspectives,7.25,-0.5
Integration of Interdisciplinary Perspectives,6.75,1.5
Integration of Interdisciplinary Perspectives,6.9,-0.6000000000000005
Integration of Interdisciplinary Perspectives,7.0,1.0
Integration of Interdisciplinary Perspectives,6.5,-2.0
Integration of Interdisciplinary Perspectives,7.5,1.0
Clarity of Logical Structure,8.0,1.0
Clarity of Logical Structure,7.5,2.0
Clarity of Logical Structure,7.75,2.5
Clarity of Logical Structure,8.0,2.0
Clarity of Logical Structure,8.75,-0.5
Clarity of Logical Structure,8.25,1.5
Clarity of Logical Structure,7.85,1.2999999999999998
Clarity of Logical Structure,8.0,1.0
Clarity of Logical Structure,7.75,-1.5
Clarity of Logical Structure,8.25,1.5
Reasonableness of Chapter Arrangement,7.25,1.5
Reasonableness of Chapter Arrangement,7.25,1.5
Reasonableness of Chapter Arrangement,7.5,1.0
Reasonableness of Chapter Arrangement,6.5,2.0
Reasonableness of Chapter Arrangement,7.5,-1.0
Reasonableness of Chapter Arrangement,7.5,1.0
Reasonableness of Chapter Arrangement,7.25,1.5
Reasonableness of Chapter Arrangement,7.0,1.0
Reasonableness of Chapter Arrangement,7.25,-1.5
Reasonableness of Chapter Arrangement,7.25,1.5
Quality of Introduction and Conclusion,7.0,1.0
Quality of Introduction and Conclusion,6.5,2.0
Quality of Introduction and Conclusion,6.75,0.5
Quality of Introduction and Conclusion,7.0,-2.0
Quality of Introduction and Conclusion,6.5,-1.0
Quality of Introduction and Conclusion,6.0,1.0
Quality of Introduction and Conclusion,6.6,2.2
Quality of Introduction and Conclusion,6.5,1.0
Quality of Introduction and Conclusion,6.75,-1.5
Quality of Introduction and Conclusion,5.75,1.5
Accuracy and Completeness of Citations,8.75,0.5
Accuracy and Completeness of Citations,8.5,1.0
Accuracy and Completeness of Citations,8.5,1.0
Accuracy and Completeness of Citations,9.0,-1.0
Accuracy and Completeness of Citations,8.75,-0.5
Accuracy and Completeness of Citations,8.25,1.5
Accuracy and Completeness of Citations,8.7,-0.5999999999999996
Accuracy and Completeness of Citations,8.5,1.0
Accuracy and Completeness of Citations,8.5,-1.0
Accuracy and Completeness of Citations,8.75,0.5
Timeliness and Relevance of References,8.0,1.0
Timeliness and Relevance of References,7.25,1.5
Timeliness and Relevance of References,8.0,1.0
Timeliness and Relevance of References,8.25,-1.5
Timeliness and Relevance of References,6.75,-1.5
Timeliness and Relevance of References,7.75,1.5
Timeliness and Relevance of References,7.699999999999999,-0.9999999999999991
Timeliness and Relevance of References,8.0,1.0
Timeliness and Relevance of References,7.25,-1.5
Timeliness and Relevance of References,7.5,1.0
Avoidance of Plagiarism and Appropriate Citation,7.5,0.0
Avoidance of Plagiarism and Appropriate Citation,7.0,1.0
Avoidance of Plagiarism and Appropriate Citation,7.0,0.0
Avoidance of Plagiarism and Appropriate Citation,8.25,-0.5
Avoidance of Plagiarism and Appropriate Citation,7.25,-0.5
Avoidance of Plagiarism and Appropriate Citation,7.0,1.0
Avoidance of Plagiarism and Appropriate Citation,7.6,-0.20000000000000018
Avoidance of Plagiarism and Appropriate Citation,7.25,0.5
Avoidance of Plagiarism and Appropriate Citation,8.0,-1.0
Avoidance of Plagiarism and Appropriate Citation,7.75,0.5
Critical Analysis of Existing Research,7.25,-1.5
Critical Analysis of Existing Research,8.0,-1.0
Critical Analysis of Existing Research,7.75,-0.5
Critical Analysis of Existing Research,8.0,-1.0
Critical Analysis of Existing Research,6.5,-1.0
Critical Analysis of Existing Research,7.25,1.5
Critical Analysis of Existing Research,7.75,-0.8999999999999995
Critical Analysis of Existing Research,7.75,1.5
Critical Analysis of Existing Research,6.5,-2.0
Critical Analysis of Existing Research,7.5,1.0
Proposal of New Research Directions or Questions,6.75,-1.5
Proposal of New Research Directions or Questions,7.0,-3.0
Proposal of New Research Directions or Questions,7.25,-1.5
Proposal of New Research Directions or Questions,7.0,-2.0
Proposal of New Research Directions or Questions,5.5,-1.0
Proposal of New Research Directions or Questions,7.25,1.5
Proposal of New Research Directions or Questions,6.800000000000001,-0.7999999999999998
Proposal of New Research Directions or Questions,7.25,1.5
Proposal of New Research Directions or Questions,6.5,-2.0
Proposal of New Research Directions or Questions,7.0,1.0
Potential Contribution to the Field,7.5,-1.0
Potential Contribution to the Field,8.0,-1.0
Potential Contribution to the Field,7.75,0.5
Potential Contribution to the Field,7.75,-1.5
Potential Contribution to the Field,7.0,-1.0
Potential Contribution to the Field,7.25,1.5
Potential Contribution to the Field,7.1,-0.7999999999999998
Potential Contribution to the Field,7.5,1.0
Potential Contribution to the Field,7.25,-1.5
Potential Contribution to the Field,7.5,1.0
Clarity of Research Method Description,7.0,1.0
Clarity of Research Method Description,6.5,1.0
Clarity of Research Method Description,7.0,1.0
Clarity of Research Method Description,6.5,1.0
Clarity of Research Method Description,6.5,1.0
Clarity of Research Method Description,6.5,1.0
