1,10.1039/b103147n
2,10.1021/cr000018s
3,10.1002/0471433489
4,10.1021/ar00051a009
5,10.1038/417507a
6,10.1021/ja0009830
7,10.1002/adsc.200303094
8,10.1126/science.287.5460.1995
9,10.1038/nature07369
10,10.1126/science.259.5093.340
11,10.1126/science.280.5363.560
12,10.1021/ja0493547
13,10.1039/b804405h
14,10.1039/9781847553232-00246
15,10.1080/01614949608006463
16,10.1016/s0920-5861(99)00041-3
17,10.1016/0920-5861(95)00051-g
18,10.1016/s0920-5861(99)00047-4
19,10.1080/01614949208020306
20,10.1016/s0920-5861(96)00028-4
21,10.1021/cr9411637
22,10.1081/cr-100101952
23,10.1016/j.molcata.2006.03.068
24,10.1080/01614940701804745
25,10.1021/cr010333u
26,10.1016/s0021-9517(02)00132-x
27,10.1016/s0360-0564(04)48003-1
28,10.1002/adsc.201590008
29,10.1021/ar00159a003
30,10.1021/ar00121a004
31,10.1021/ar00018a003
32,10.1021/cr00040a003
33,10.1007/s10562-012-0801-9
34,10.1039/b719148k
35,10.1039/b800260f
36,10.1039/cc9960000523
37,10.1016/s0926-860x(01)00935-8
38,10.1086/450238
39,10.1021/ja00754a082
40,10.1021/j100640a011
41,10.1016/0021-9517(75)90024-x
42,10.1039/pl9021800001
43,10.1134/s0370274x19190019
44,10.1021/j100893a044
45,10.1039/j19680001555
46,10.1039/tf9716700513
47,10.1021/j100719a005
48,10.1016/0021-9517(71)90271-5
49,10.1039/f19757100903
50,10.1039/f19767200818
51,10.1007/bf02113855
52,10.1002/chin.197837110
53,10.1016/0584-8539(81)80077-3
54,10.1246/bcsj.54.2521
55,10.1016/s0166-9834(00)81460-8
56,10.1006/jcat.1995.1254
57,10.1039/b006774l
58,10.1021/jp013724l
59,10.1007/bf02061713
60,
a,10.1021/jp0641841
b,10.1016/j.jcat.2007.07.035
61,
a,10.1021/ja900953d
b,10.1039/b904967c
62,10.1016/j.molcata.2007.05.025
63,10.1023/a:1020579705752
64,10.1002/pol.1975.170131002
65,10.1016/0021-9517(84)90376-2
66,10.1021/ar00014a001
67,10.1021/ja0616736
68,10.1002/anie.200700211
69,10.1016/j.jcat.2007.10.007
70,10.1002/anie.200704876
71,10.1002/anie.199116361
72,10.1016/j.jorganchem.2005.07.051
73,10.1016/0304-5102(92)80038-i
74,10.1002/adma.19950070212
75,10.1021/om00076a023
76,10.1021/ja00289a016
77,10.1016/s0166-9834(00)80908-2
78,10.1016/0304-5102(90)85100-v
79,10.1021/jp9604507
80,10.1039/a800184g
81,10.1023/a:1019047306179
82,10.1007/s11144-006-0024-4
83,10.1016/j.jcat.2008.03.021
84,10.1023/a:1022501613772
85,10.1007/s10562-006-0077-z
86,10.1021/jp807864z
87,10.1021/jp055793w
88,10.1006/jcat.2001.3306
89,10.1016/j.jcat.2006.02.017
90,10.1021/cr00083a003
91,10.1177/107621759802100612
92,10.1016/s0920-5861(98)00418-0
93,10.1021/cr050523v
94,10.1016/s0920-5861(96)00185-x
95,10.1016/s0166-9834(00)81245-2
96,10.1002/chin.198816022
97,10.1007/bf00811368
98,10.1007/bf00812463
99,10.1007/bf02070119
100,10.1007/s11244-006-0073-y
101,10.1007/bf02075853
102,10.1080/01614940600631413
103,10.1021/ja981798d
104,10.1021/cm990350o
105,10.1016/s0021-9517(02)00106-9
